epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,91.8312,0.64934,0.93237,1.02185,0.67395,0.69074,0.85257,0.56179,1.62476,1.47864,1.36471,2.82082e-05,2.82082e-05,2.82082e-05
40,93.8827,0.80208,0.83747,1.16674,0.67395,0.69074,0.85257,0.56179,1.62476,1.47864,1.36471,2.84911e-05,2.84911e-05,2.84911e-05
41,95.9867,0.75784,0.92627,1.06124,0.682,0.66535,0.76929,0.48791,1.59532,1.48958,1.3568,2.87504e-05,2.87504e-05,2.87504e-05
42,98.0098,0.88068,1.88333,1.27764,0.682,0.66535,0.76929,0.48791,1.59532,1.48958,1.3568,2.89861e-05,2.89861e-05,2.89861e-05
43,100.208,0.84658,1.22082,1.2283,0.6783,0.65,0.76238,0.47306,1.622,1.52903,1.3847,2.91983e-05,2.91983e-05,2.91983e-05
44,102.238,1.07447,0.98539,1.45166,0.6783,0.65,0.76238,0.47306,1.622,1.52903,1.3847,2.93869e-05,2.93869e-05,2.93869e-05
45,104.342,0.61307,0.92524,0.99469,0.69153,0.65,0.76251,0.47229,1.60984,1.54705,1.38009,2.9552e-05,2.9552e-05,2.9552e-05
46,106.402,0.81965,0.99591,1.26952,0.69153,0.65,0.76251,0.47229,1.60984,1.54705,1.38009,2.96935e-05,2.96935e-05,2.96935e-05
47,108.479,0.88557,1.46302,1.36124,0.73623,0.65,0.7323,0.43907,1.62337,1.60225,1.38738,2.98114e-05,2.98114e-05,2.98114e-05
48,110.511,0.78781,1.63512,1.17239,0.73623,0.65,0.7323,0.43907,1.62337,1.60225,1.38738,2.99058e-05,2.99058e-05,2.99058e-05
49,112.596,0.67227,0.7216,1.24494,0.68391,0.65021,0.70529,0.41424,1.6247,1.62161,1.3884,2.99766e-05,2.99766e-05,2.99766e-05
50,114.66,0.80365,0.8109,1.29482,0.68391,0.65021,0.70529,0.41424,1.6247,1.62161,1.3884,3.00238e-05,3.00238e-05,3.00238e-05
51,116.749,0.85841,0.83932,1.15569,0.659,0.67478,0.69821,0.40628,1.59222,1.63417,1.38089,3.00475e-05,3.00475e-05,3.00475e-05
52,118.782,0.97354,0.96693,1.3476,0.659,0.67478,0.69821,0.40628,1.59222,1.63417,1.38089,3.00476e-05,3.00476e-05,3.00476e-05
53,120.855,0.64656,0.6999,1.17896,0.659,0.67478,0.69821,0.40628,1.59222,1.63417,1.38089,3.00242e-05,3.00242e-05,3.00242e-05
54,122.969,0.78476,0.90247,1.23208,0.69115,0.67063,0.69636,0.4082,1.57679,1.67491,1.38129,2.99772e-05,2.99772e-05,2.99772e-05
55,125.002,0.8004,0.9531,1.12097,0.69115,0.67063,0.69636,0.4082,1.57679,1.67491,1.38129,2.99066e-05,2.99066e-05,2.99066e-05
56,127.043,1.09743,1.44368,1.58751,0.69115,0.67063,0.69636,0.4082,1.57679,1.67491,1.38129,2.98125e-05,2.98125e-05,2.98125e-05
57,129.194,0.94387,1.49861,1.37429,0.72282,0.50382,0.69284,0.38717,1.58525,1.70638,1.39144,2.96948e-05,2.96948e-05,2.96948e-05
58,131.259,0.86458,1.45433,1.26645,0.72282,0.50382,0.69284,0.38717,1.58525,1.70638,1.39144,2.95535e-05,2.95535e-05,2.95535e-05
59,133.313,0.78233,0.82751,1.15414,0.72282,0.50382,0.69284,0.38717,1.58525,1.70638,1.39144,2.93887e-05,2.93887e-05,2.93887e-05
60,135.469,0.99692,0.77654,1.5459,0.85551,0.48021,0.67795,0.37421,1.61035,1.77386,1.40769,2.92003e-05,2.92003e-05,2.92003e-05
61,137.5,0.63446,0.68048,1.06297,0.85551,0.48021,0.67795,0.37421,1.61035,1.77386,1.40769,2.89884e-05,2.89884e-05,2.89884e-05
62,139.568,0.70152,0.89318,1.04557,0.85551,0.48021,0.67795,0.37421,1.61035,1.77386,1.40769,2.87529e-05,2.87529e-05,2.87529e-05
63,141.658,0.77034,0.82321,1.15434,0.85563,0.4768,0.67797,0.3742,1.64077,1.85498,1.42343,2.84938e-05,2.84938e-05,2.84938e-05
